iter	Passed	Remaining
0	25	126071
1	49	124767
2	70	117393
3	88	110650
4	110	110474
5	134	111835
6	155	110729
7	178	111449
8	203	112899
9	224	112240
10	249	113297
11	271	112703
12	291	111739
13	313	111562
14	335	111523
15	356	111201
16	380	111675
17	401	111080
18	422	110756
19	447	111359
20	471	111766
21	493	111614
22	517	111957
23	542	112375
24	565	112558
25	586	112154
26	609	112293
27	635	112822
28	656	112459
29	678	112432
30	703	112693
31	728	113052
32	750	112903
33	773	112906
34	794	112666
35	819	112957
36	843	113121
37	865	113046
38	887	112903
39	911	112994
40	933	112848
41	957	112977
42	981	113107
43	1003	113018
44	1025	112905
45	1047	112795
46	1071	112869
47	1093	112818
48	1115	112694
49	1140	112938
50	1162	112830
51	1186	112885
52	1208	112807
53	1231	112803
54	1256	112968
55	1281	113181
56	1305	113194
57	1327	113110
58	1350	113125
59	1372	113013
60	1394	112912
61	1417	112921
62	1439	112844
63	1462	112797
64	1484	112718
65	1506	112634
66	1529	112594
67	1551	112559
68	1574	112496
69	1597	112533
70	1619	112462
71	1643	112497
72	1668	112606
73	1692	112633
74	1713	112544
75	1735	112457
76	1757	112347
77	1779	112260
78	1801	112198
79	1822	112112
80	1844	112034
81	1869	112136
82	1892	112106
83	1916	112157
84	1938	112084
85	1960	112006
86	1984	112050
87	2008	112109
88	2031	112080
89	2053	112042
90	2077	112071
91	2100	112066
92	2123	112045
93	2145	111992
94	2167	111932
95	2191	111945
96	2213	111890
97	2236	111846
98	2258	111793
99	2282	111818
100	2303	111727
101	2325	111680
102	2348	111650
103	2370	111612
104	2392	111552
105	2416	111579
106	2438	111523
107	2460	111459
108	2485	111511
109	2509	111575
110	2533	111587
111	2556	111566
112	2580	111595
113	2600	111473
114	2625	111510
115	2647	111481
116	2669	111417
117	2695	111504
118	2717	111446
119	2739	111399
120	2761	111339
121	2784	111343
122	2806	111292
123	2825	111094
124	2848	111075
125	2869	111010
126	2891	110951
127	2913	110891
128	2936	110876
129	2958	110830
130	2982	110839
131	3004	110791
132	3026	110746
133	3049	110750
134	3071	110693
135	3095	110724
136	3117	110673
137	3141	110670
138	3164	110676
139	3187	110641
140	3208	110575
141	3232	110586
142	3254	110545
143	3279	110579
144	3301	110555
145	3324	110513
146	3347	110528
147	3370	110481
148	3392	110434
149	3414	110386
150	3436	110352
151	3458	110303
152	3477	110173
153	3499	110124
154	3521	110070
155	3543	110024
156	3566	110003
157	3588	109956
158	3612	109977
159	3634	109933
160	3656	109897
161	3678	109847
162	3700	109804
163	3724	109814
164	3746	109785
165	3768	109746
166	3790	109694
167	3813	109681
168	3837	109684
169	3859	109646
170	3881	109610
171	3904	109609
172	3924	109495
173	3946	109449
174	3969	109455
175	3991	109410
176	4014	109380
177	4037	109374
178	4059	109347
179	4081	109302
180	4104	109274
181	4128	109280
182	4149	109237
183	4171	109191
184	4193	109148
185	4217	109161
186	4241	109167
187	4264	109142
188	4285	109078
189	4307	109042
190	4330	109037
191	4352	108989
192	4376	108999
193	4398	108955
194	4422	108970
195	4444	108931
196	4467	108915
197	4490	108903
198	4512	108857
199	4534	108819
200	4556	108790
201	4580	108794
202	4602	108757
203	4624	108729
204	4646	108686
205	4668	108648
206	4690	108603
207	4712	108567
208	4736	108568
209	4758	108530
210	4780	108490
211	4802	108455
212	4826	108461
213	4851	108509
214	4874	108479
215	4896	108445
216	4920	108450
217	4944	108467
218	4969	108481
219	4991	108445
220	5013	108414
221	5036	108387
222	5057	108349
223	5083	108396
224	5106	108376
225	5130	108373
226	5152	108334
227	5174	108310
228	5196	108270
229	5219	108247
230	5241	108219
231	5263	108180
232	5286	108154
233	5309	108151
234	5331	108114
235	5355	108114
236	5377	108070
237	5401	108072
238	5425	108078
239	5449	108078
240	5471	108039
241	5495	108051
242	5519	108048
243	5541	108017
244	5564	107988
245	5589	108018
246	5611	107983
247	5632	107919
248	5654	107884
249	5676	107845
250	5698	107815
251	5720	107787
252	5742	107750
253	5764	107716
254	5786	107674
255	5808	107648
256	5831	107619
