lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
21.0519203,105.7817105,3,2,30,25,11,11,3,60,3,8,6,0,2,5,5,3
21.0780093,105.8124999,0,2,16,2,8,2,1,6,1,7,0,0,2,1,5,7
21.072694803521,105.802959309842,2,1,5,5,3,1,0,1,1,12,2,0,1,2,1,2
10.869919,106.735547,0,10,0,0,0,0,2,1,0,5,0,0,0,5,1,0
21.014174,105.810768,8,7,31,7,0,4,1,31,2,16,8,0,7,5,21,69
21.030448,105.828554,3,1,56,9,1,7,3,66,2,18,5,0,9,28,14,91
10.850669,106.72947,0,1,3,0,0,1,0,2,0,3,1,0,0,0,0,0
20.978411,105.773994,2,3,2,1,0,1,0,5,3,14,2,0,0,4,1,11
21.022277,105.823407,3,6,30,7,0,7,3,42,2,24,2,0,6,11,17,66
21.0365104,105.7847569,14,3,59,31,28,15,5,62,3,16,11,0,4,9,19,32
10.765071,106.673555,8,6,52,6,0,18,17,88,9,30,3,0,1,18,48,10
10.820007,106.613069,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
10.775828,106.631085,1,6,0,2,0,2,4,3,0,15,2,0,0,6,21,4
21.0364466,105.78027,14,4,44,23,25,12,5,51,3,16,9,0,4,8,19,19
21.0296573,105.8005074,4,0,30,9,0,7,4,25,4,14,5,0,3,13,12,29
21.0340636,105.8546816,0,0,258,13,0,76,9,391,4,20,5,0,13,38,46,241
21.0500086,105.7403024,1,2,8,0,0,0,0,17,0,4,1,0,0,0,2,0
21.0231871,105.794927,3,1,22,8,3,2,4,27,2,17,7,0,2,5,6,6
20.9682077,105.7696603,1,3,10,2,0,0,2,6,6,16,0,0,2,3,2,13
21.019435,105.807856,9,6,43,10,0,6,2,47,4,14,5,0,5,5,21,62
10.810265,106.666861,1,4,27,18,3,7,0,16,1,6,1,0,2,2,3,16
21.0038346,105.7424146,0,1,4,18,8,0,0,0,2,5,12,0,1,1,3,0
10.830307,106.670085,1,5,11,2,0,0,0,4,1,6,2,0,0,3,11,9
10.7616608,106.6708285,1,9,47,4,0,17,13,62,14,35,4,0,1,14,51,9
10.834001,106.670465,1,8,12,2,0,0,0,4,1,6,2,0,0,6,10,8
20.9795816,105.8438182,0,5,1,3,0,0,0,3,1,11,5,0,1,1,7,9
10.831984,106.679716,2,12,10,2,0,2,0,8,2,8,3,0,0,5,11,9
10.809214,106.693437,3,12,9,0,0,2,3,9,5,10,1,0,2,8,8,7
20.996631,105.825704,2,0,7,1,0,0,1,4,3,7,0,0,3,1,12,22
10.788154,106.629152,0,10,6,1,0,2,3,4,0,12,5,0,0,7,1,5
21.037872,105.813652,3,6,23,7,1,2,4,37,3,18,6,0,4,19,13,47
10.7929,106.653314,0,4,17,6,0,5,4,17,3,24,3,0,1,30,10,12
10.956526,106.631636,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.9836286,105.8596834,1,2,2,1,0,0,1,1,0,7,2,0,0,0,6,6
10.840216,106.678869,2,5,1,1,0,0,1,4,1,3,2,0,0,3,6,7
21.0873959,105.7555013,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
10.80051,106.646268,0,6,10,7,0,1,3,6,1,22,4,0,0,11,12,11
10.790998,106.645546,1,8,7,4,0,3,5,4,3,19,6,0,1,16,8,9
21.057374,105.887126,0,2,3,4,0,0,3,1,0,9,3,0,0,4,3,9
10.7361465,106.7052575,4,2,12,12,0,7,1,42,2,10,1,0,3,3,8,17
10.811545,106.6988978,2,9,9,0,0,2,1,12,3,6,1,0,2,4,6,8
20.890001,105.8215032,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21.035135,105.9411831,0,1,0,3,0,0,1,0,0,3,1,0,2,7,0,1
10.793519,106.662703,2,3,42,6,0,14,3,47,6,26,2,0,1,30,29,12
10.812533,106.688081,3,7,9,0,0,1,2,7,2,17,0,0,0,15,2,4
10.7517388,106.6980461,0,5,13,7,0,3,4,15,2,13,4,0,2,24,3,6
10.88257,106.648549,0,2,1,0,0,0,0,0,0,3,0,0,0,1,0,1
10.7678416,106.6827773,9,7,74,8,0,16,13,132,8,19,11,0,3,18,41,24
10.773274,106.646986,0,10,3,3,0,4,5,7,2,24,0,0,2,16,27,5
21.0342609,105.7961123,4,1,29,13,1,7,3,24,1,14,8,0,5,13,15,30
10.808067,106.688528,3,9,13,0,0,2,4,15,6,16,1,0,1,18,11,11
10.850013,106.652112,0,4,13,0,0,0,0,5,0,9,1,0,0,7,2,3
10.7380925,106.6280965,0,7,3,1,0,1,3,7,1,9,5,0,0,5,0,2
10.7552097,106.6287129,0,9,2,1,0,2,3,3,1,19,0,0,1,10,3,4
10.771829,106.609271,0,4,1,0,0,0,1,1,1,6,2,0,0,0,2,1
10.876421,106.7455369,0,4,0,0,0,0,1,0,1,5,3,0,0,11,0,3
10.7429934,106.7216704,0,6,9,2,0,1,2,2,2,9,1,0,0,1,2,4
10.8132801,106.6849841,4,4,8,0,0,1,1,8,1,16,1,0,1,12,1,12
21.0593908,105.8184144,0,0,12,2,0,1,2,13,0,3,3,0,1,13,0,0
21.0161086,105.8146779,5,8,21,7,0,5,2,23,5,15,6,0,6,8,24,79
10.7357783,106.7472634,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10.844574,106.693509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.988516,105.80906,2,0,5,0,0,1,3,7,2,19,7,0,5,2,4,26
10.804201,106.62567,3,3,3,2,0,2,1,4,0,18,0,0,0,1,0,3
10.8794102,106.6287457,0,3,1,0,0,0,0,0,0,4,1,0,0,1,0,0
21.0136162,105.7909679,1,2,23,14,8,3,7,20,0,16,9,0,2,1,3,11
10.6746009,106.7230768,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
10.742487,106.684895,1,2,4,0,0,2,1,9,3,10,1,0,0,4,3,2
10.7470188,106.7377344,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1
20.988609,105.855455,1,2,1,0,0,1,1,2,0,14,5,0,3,1,6,7
10.7788749,106.6735501,5,4,55,0,0,8,2,52,9,14,4,0,2,19,19,7
10.796498,106.690734,2,3,59,1,0,14,4,57,7,22,2,0,1,29,35,15
10.792779,106.670323,5,4,60,3,2,13,2,53,6,30,3,0,2,36,45,19
10.8419926,106.6604707,0,6,17,0,0,1,2,3,1,13,2,0,0,8,2,4
10.7142205040185,106.616039119319,0,6,0,0,0,0,1,0,0,2,0,0,0,3,0,1
10.871755,106.667527,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.829966,106.702617,3,1,3,0,0,0,0,1,0,3,1,0,3,4,1,0
10.81699,106.680988,5,5,8,0,0,2,3,4,1,14,0,0,1,9,1,12
10.824232,106.684108,2,10,13,4,0,3,2,10,3,18,2,0,0,7,12,11
10.773249,106.632335,1,7,0,2,0,1,4,3,0,18,2,0,1,5,21,4
21.057943,105.8293778,0,0,29,10,0,1,1,42,1,4,3,0,2,10,5,13
21.0712745,105.9000041,0,2,0,2,0,0,0,1,1,6,1,0,3,1,0,1
10.828984,106.617322,0,3,1,0,0,0,1,0,2,10,0,0,0,3,5,3
10.698992,106.589088,0,1,1,0,0,0,0,0,1,1,0,0,0,4,0,1
10.857481,106.626047,4,6,4,5,0,0,1,5,1,1,1,0,0,1,0,2
10.7381244,106.7202767,0,1,12,13,0,1,1,8,4,8,2,0,1,1,5,6
10.852664,106.656075,0,4,16,0,0,0,1,3,0,12,1,0,0,13,3,5
20.995217,105.88003,1,0,1,0,0,1,0,2,0,5,4,0,1,0,0,0
21.0289311,105.7939141,3,1,21,7,2,4,5,26,3,12,5,0,5,13,17,24
21.032808,105.8032427,3,2,26,5,0,6,4,32,4,17,3,0,4,15,9,36
